Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
PN-IQ PN-DOMP,250,250,1e-05,-51.4882743862674,-51.455043102771,883
PN-IQ PN-DOMP,260,260,0.001,-40.5150672904866,-40.5287302922811,907
PN-IQ PN-DOMP,260,260,0.0001,-49.8513336513999,-49.8315362848999,907
PN-IQ PN-DOMP,260,260,1e-05,-51.4909702980255,-51.4564731076349,907
PN-IQ PN-DOMP,270,270,0.001,-40.5492219825949,-40.5595942747282,934
PN-IQ PN-DOMP,270,270,0.0001,-49.8303119771619,-49.8091881681456,934
PN-IQ PN-DOMP,270,270,1e-05,-51.4933492915897,-51.4584936102965,934
PN-IQ PN-DOMP,280,280,0.001,-40.5866845550545,-40.5953513674579,962
PN-IQ PN-DOMP,280,280,0.0001,-49.8158285335827,-49.7952323929214,962
PN-IQ PN-DOMP,280,280,1e-05,-51.4952358946175,-51.4582268400226,962
PN-IQ PN-DOMP,290,290,0.001,-40.5793919636568,-40.5841592011681,992
PN-IQ PN-DOMP,290,290,0.0001,-49.81874045806,-49.7970541374896,992
PN-IQ PN-DOMP,290,290,1e-05,-51.4983048977795,-51.4599772469242,992
PN-IQ PN-DOMP,300,300,0.001,-40.61809837725,-40.6268431557732,1020
PN-IQ PN-DOMP,300,300,0.0001,-49.7593496089939,-49.7414121766304,1020
PN-IQ PN-DOMP,300,300,1e-05,-51.4947901867259,-51.4550403429598,1020
PN-IQ PN-DOMP,310,310,0.001,-40.6251879975777,-40.632024016953,1047
PN-IQ PN-DOMP,310,310,0.0001,-49.7673773344004,-49.7471440939175,1047
PN-IQ PN-DOMP,310,310,1e-05,-51.4983944475486,-51.4589141755738,1047
PN-IQ PN-DOMP,320,320,0.001,-40.6166696777031,-40.622467474089,1073
PN-IQ PN-DOMP,320,320,0.0001,-49.766580976834,-49.7449279561494,1073
PN-IQ PN-DOMP,320,320,1e-05,-51.4989927829414,-51.4589106492809,1073
PN-IQ PN-DOMP,330,330,0.001,-40.6224871643462,-40.6290290509731,1097
PN-IQ PN-DOMP,330,330,0.0001,-49.7645201744291,-49.7428572729347,1097
PN-IQ PN-DOMP,330,330,1e-05,-51.5037658208671,-51.4629128743323,1097
PN-IQ PN-DOMP,340,340,0.001,-40.6143301366411,-40.6230669958721,1124
PN-IQ PN-DOMP,340,340,0.0001,-49.7688885588143,-49.7484707535052,1124
PN-IQ PN-DOMP,340,340,1e-05,-51.504139941662,-51.4631263414401,1124
PN-IQ PN-DOMP,350,350,0.001,-40.6101335869871,-40.6189523767551,1154
PN-IQ PN-DOMP,350,350,0.0001,-49.7676696734942,-49.7466403127001,1154
PN-IQ PN-DOMP,350,350,1e-05,-51.5070654008436,-51.4651651284285,1154
PN-IQ PN-DOMP,360,360,0.001,-41.147639916067,-41.1506900035693,1179
PN-IQ PN-DOMP,360,360,0.0001,-49.3563331546537,-49.3344574818492,1179
PN-IQ PN-DOMP,360,360,1e-05,-51.4855737543531,-51.4433429695847,1179
PN-IQ PN-DOMP,370,370,0.001,-41.6706397308707,-41.6727945615017,1205
PN-IQ PN-DOMP,370,370,0.0001,-49.5512305260938,-49.5301635296573,1205
