Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Independent PN-IQ PN-DOMP sweep,Sweep point,330,330,Validation-selected Ridge,0,-42.6445225374674,-42.7615370186331,-42.7139008913157,1065,330,0,NaN,Not applicable,1346,1285,165,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,340,340,Validation-selected Ridge,0,-42.6496708784847,-42.7930686579121,-42.7401715399615,1095,340,0,NaN,Not applicable,1346,1285,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,350,350,Validation-selected Ridge,0,-42.6702085543628,-42.8226183139608,-42.7681612810637,1121,350,0,NaN,Not applicable,1346,1285,175,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,360,360,Validation-selected Ridge,0,-42.6808142501333,-42.8353471347649,-42.7760440554361,1150,360,0,NaN,Not applicable,1346,1285,180,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,370,370,Validation-selected Ridge,0,-42.6856205910276,-42.86474646009,-42.7983788523551,1180,370,0,NaN,Not applicable,1346,1285,185,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,380,380,Validation-selected Ridge,0,-42.6908158053403,-42.8886921728389,-42.8211305442259,1211,380,0,NaN,Not applicable,1346,1285,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,390,390,Validation-selected Ridge,0,-42.6969627296339,-42.921503948066,-42.8499124840891,1241,390,0,NaN,Not applicable,1346,1285,195,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,400,400,Validation-selected Ridge,0,-42.7296125991166,-42.9930378478153,-42.9174693442353,1271,400,0,NaN,Not applicable,1346,1285,200,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,410,410,Validation-selected Ridge,0,-42.7691934639372,-43.0015714055726,-42.9233312212863,1302,410,0,NaN,Not applicable,1346,1285,205,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,420,420,Validation-selected Ridge,0,-42.7971868976055,-43.0106809738735,-42.9275088666832,1332,420,0,NaN,Not applicable,1346,1285,210,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,430,430,Validation-selected Ridge,0,-42.8037945228417,-43.0184587955947,-42.9293524396691,1364,430,0,NaN,Not applicable,1346,1285,215,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,440,440,Validation-selected Ridge,0,-42.804024878544,-43.0262183303415,-42.9353995744595,1386,440,0,NaN,Not applicable,1346,1285,220,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,450,450,Validation-selected Ridge,0,-42.8028957657605,-43.0390721902261,-42.9416987574748,1408,450,0,NaN,Not applicable,1346,1285,225,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
