Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,380,380,1e-05,-39.5617238222035,-39.5498691562976,1211,125.859983425467
PN-IQ PN-DOMP,390,390,0.001,-35.2515842793419,-35.1875917925315,1241,85.7322244686531
PN-IQ PN-DOMP,390,390,0.0001,-38.5537981326367,-38.5240018303851,1241,108.312366085486
PN-IQ PN-DOMP,390,390,1e-05,-39.5641405250419,-39.5519367034494,1241,125.893930775147
PN-IQ PN-DOMP,400,400,0.001,-35.2516908116557,-35.1875214966937,1271,85.7274725205284
PN-IQ PN-DOMP,400,400,0.0001,-38.555114072291,-38.5250844842937,1271,108.308795557696
PN-IQ PN-DOMP,400,400,1e-05,-39.5714615722677,-39.5594828628299,1271,125.905674053769
PN-IQ PN-DOMP,410,410,0.001,-35.2526776123825,-35.1876746879017,1302,85.7255247491468
PN-IQ PN-DOMP,410,410,0.0001,-38.5552091797385,-38.5245796664567,1302,108.308125202956
PN-IQ PN-DOMP,410,410,1e-05,-39.5722528404483,-39.560058200568,1302,125.901600260284
PN-IQ PN-DOMP,420,420,0.001,-35.2575099574513,-35.1893945896402,1332,85.7234012342316
PN-IQ PN-DOMP,420,420,0.0001,-38.557375552818,-38.5239862166748,1332,108.298370524381
PN-IQ PN-DOMP,420,420,1e-05,-39.5755794950815,-39.5605484598975,1332,125.88277713241
PN-IQ PN-DOMP,430,430,0.001,-35.2586967026606,-35.1896660679506,1364,85.7154917514695
PN-IQ PN-DOMP,430,430,0.0001,-38.5625927164641,-38.5269421270533,1364,108.296863240148
PN-IQ PN-DOMP,430,430,1e-05,-39.5804328256206,-39.5618170557158,1364,125.884253088759
PN-IQ PN-DOMP,440,440,0.001,-35.2586909430539,-35.1888855036775,1386,85.7135821613362
PN-IQ PN-DOMP,440,440,0.0001,-38.5653379346006,-38.5283684074338,1386,108.294300897167
PN-IQ PN-DOMP,440,440,1e-05,-39.5839022655624,-39.5636383758018,1386,125.883797842807
PN-IQ PN-DOMP,450,450,0.001,-35.2597149779401,-35.1897765260744,1408,85.713308550278
