Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter
Independent PN-IQ PN-DOMP sweep,450,450,0,-42.8028957657605,-43.0390721902261,-42.9416987574748,1408,450,0,NaN,NaN,6.976975148009e+15
Independent PN-IQ PN-DOMP sweep,460,460,0,-42.8137277708376,-43.0528627731758,-42.9508494950553,1434,460,0,NaN,NaN,6.68203190067523e+15
Independent PN-IQ PN-DOMP sweep,470,470,0,-42.8804466220351,-43.0620413011499,-42.9560413153463,1464,470,0,NaN,NaN,6.55554387656074e+15
Independent PN-IQ PN-DOMP sweep,480,480,0,-42.880709796592,-43.0751226561465,-42.9668430797656,1490,480,0,NaN,NaN,6.56254324888858e+15
Independent PN-IQ PN-DOMP sweep,490,490,0,-42.8872129986664,-43.1284982176682,-43.0240550309238,1510,490,0,NaN,NaN,6.516516663128e+15
Independent PN-IQ PN-DOMP sweep,500,500,0,-42.8905267963396,-43.1724964498556,-43.0643690283071,1536,500,0,NaN,NaN,6.53519661033663e+15
Sparse PNNN N12,20,20,NaN,NaN,-6.95773921015104,-6.94737083354969,200,6,14,99.4186046511628,164,2.29033255577087
Sparse PNNN N12,30,30,NaN,NaN,-16.4554808395297,-16.4391426406681,220,16,14,98.4496124031008,164,2.55497813224792
Sparse PNNN N12,40,40,NaN,NaN,-22.9113335504051,-22.8773653529809,240,26,14,97.4806201550388,164,2.25278568267822
Sparse PNNN N12,50,50,NaN,NaN,-25.191639155845,-25.172962899509,260,36,14,96.5116279069767,164,2.73907947540283
Sparse PNNN N12,60,60,NaN,NaN,-25.4702684801488,-25.4607903726737,280,46,14,95.5426356589147,164,2.41290402412415
Sparse PNNN N12,70,70,NaN,NaN,-25.5932712176805,-25.5875620672194,300,56,14,94.5736434108527,164,2.2131130695343
