Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,170,170,0.001,-35.1173486443814,-35.0614133414653,579,0.841244735363076
PN-IQ PN-DOMP,170,170,0.0001,-38.1443993865936,-38.1152343463542,579,1.02526843504664
PN-IQ PN-DOMP,170,170,1e-05,-39.1803880257283,-39.1780007323744,579,1.18503024969632
PN-IQ PN-DOMP,180,180,0.001,-34.937810682173,-34.8860398932735,608,0.815794853700093
PN-IQ PN-DOMP,180,180,0.0001,-38.1374952302871,-38.1102597619569,608,1.01825881445374
PN-IQ PN-DOMP,180,180,1e-05,-39.2061351522892,-39.2030418001427,608,1.18353161705693
PN-IQ PN-DOMP,190,190,0.001,-34.9955818324153,-34.9385751899615,635,0.81197725552477
PN-IQ PN-DOMP,190,190,0.0001,-38.2885383255287,-38.2635694746702,635,1.00972212497235
PN-IQ PN-DOMP,190,190,1e-05,-39.3147068980651,-39.3164080144025,635,1.16803723646822
PN-IQ PN-DOMP,200,200,0.001,-35.0796441402033,-35.0254971062843,663,0.799998776805799
PN-IQ PN-DOMP,200,200,0.0001,-38.3176081901045,-38.292403088125,663,1.00200549962991
PN-IQ PN-DOMP,200,200,1e-05,-39.323577534361,-39.3269719307594,663,1.16398418988144
PN-IQ PN-DOMP,210,210,0.001,-35.0995557078309,-35.0427605591021,703,0.799978957968192
PN-IQ PN-DOMP,210,210,0.0001,-38.333649356598,-38.3095277779507,703,1.00184676095975
PN-IQ PN-DOMP,210,210,1e-05,-39.3367262647134,-39.3406923510073,703,1.16367859874398
PN-IQ PN-DOMP,220,220,0.001,-35.1423379600055,-35.0935404065194,731,0.799628268540437
PN-IQ PN-DOMP,220,220,0.0001,-38.373509991534,-38.3517875530333,731,1.00298694410872
PN-IQ PN-DOMP,220,220,1e-05,-39.4124557946506,-39.4138352523713,731,1.16309101155851
PN-IQ PN-DOMP,230,230,0.001,-35.162994030916,-35.1167045337378,758,0.798754401240313
PN-IQ PN-DOMP,230,230,0.0001,-38.3723291926159,-38.3515781080421,758,1.001777351104
PN-IQ PN-DOMP,230,230,1e-05,-39.4182729035796,-39.4187585809122,758,1.16263146474924
PN-IQ PN-DOMP,240,240,0.001,-35.1673811098219,-35.1224624079835,790,0.795561146945119
PN-IQ PN-DOMP,240,240,0.0001,-38.4012053505909,-38.3816020508907,790,1.00127114000198
PN-IQ PN-DOMP,240,240,1e-05,-39.4334622458106,-39.4329627371643,790,1.16377284236581
PN-IQ PN-DOMP,250,250,0.001,-35.1808091749653,-35.1340965401908,825,0.795349461149747
PN-IQ PN-DOMP,250,250,0.0001,-38.4065248292092,-38.3866265592582,825,1.00104713052279
PN-IQ PN-DOMP,250,250,1e-05,-39.4369571498797,-39.43814843501,825,1.16382430648741
PN-IQ PN-DOMP,260,260,0.001,-35.1989171938331,-35.1484073030548,853,0.795116839916671
PN-IQ PN-DOMP,260,260,0.0001,-38.4143435837509,-38.3912611200424,853,1.001081412471
PN-IQ PN-DOMP,260,260,1e-05,-39.4400718610855,-39.4409081763729,853,1.16446139991351
PN-IQ PN-DOMP,270,270,0.001,-35.2099087998199,-35.1560758531511,879,0.794991064190193
PN-IQ PN-DOMP,270,270,0.0001,-38.4266871894808,-38.3990309198328,879,1.00112431820182
PN-IQ PN-DOMP,270,270,1e-05,-39.4512534510093,-39.4472868728106,879,1.1645892175713
PN-IQ PN-DOMP,280,280,0.001,-35.2172669697606,-35.164537478621,909,0.795029930416023
PN-IQ PN-DOMP,280,280,0.0001,-38.4392650431184,-38.4127519084341,909,1.00073653574804
PN-IQ PN-DOMP,280,280,1e-05,-39.461953444654,-39.455971918624,909,1.1651351262683
PN-IQ PN-DOMP,290,290,0.001,-35.2457693017669,-35.1930455872497,933,0.794910751168638
PN-IQ PN-DOMP,290,290,0.0001,-38.4504217354954,-38.4224097509848,933,1.00128363870188
PN-IQ PN-DOMP,290,290,1e-05,-39.4740201514973,-39.4670241275018,933,1.16474595226421
PN-IQ PN-DOMP,300,300,0.001,-35.2330678830304,-35.1818126421095,966,0.793322704566614
PN-IQ PN-DOMP,300,300,0.0001,-38.4638097671278,-38.4380889589313,966,1.0011969499905
PN-IQ PN-DOMP,300,300,1e-05,-39.4878053514785,-39.482907266107,966,1.16473285131459
PN-IQ PN-DOMP,310,310,0.001,-35.2391328331789,-35.1847009599739,1003,0.793220679500472
PN-IQ PN-DOMP,310,310,0.0001,-38.4726160731862,-38.4406507447039,1003,1.00107408634317
PN-IQ PN-DOMP,310,310,1e-05,-39.495743341807,-39.4835137817132,1003,1.16447561981524
PN-IQ PN-DOMP,320,320,0.001,-35.2336109966397,-35.1771945646799,1038,0.792842191408697
