Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Independent PN-IQ PN-DOMP sweep,Sweep point,370,370,Validation-selected Ridge,0,-38.8908929197784,-39.1523509690124,-38.9561392705148,1188,370,0,NaN,Not applicable,1346,1285,185,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,380,380,Validation-selected Ridge,0,-38.9084817981099,-39.177343870667,-38.9814396431957,1214,380,0,NaN,Not applicable,1346,1285,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,390,390,Validation-selected Ridge,0,-38.9148804440645,-39.1942645623498,-38.9899484534473,1240,390,0,NaN,Not applicable,1346,1285,195,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,400,400,Validation-selected Ridge,0,-38.9206623103586,-39.208440999531,-38.998078321865,1270,400,0,NaN,Not applicable,1346,1285,200,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,410,410,Validation-selected Ridge,0,-38.9237955381235,-39.2222094926505,-39.0112690349382,1296,410,0,NaN,Not applicable,1346,1285,205,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,420,420,Validation-selected Ridge,0,-38.9371508361565,-39.2335846551209,-39.0218179794882,1326,420,0,NaN,Not applicable,1346,1285,210,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,430,430,Validation-selected Ridge,0,-39.0069177167739,-39.2466330724943,-39.0261544816436,1354,430,0,NaN,Not applicable,1346,1285,215,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,440,440,Validation-selected Ridge,0,-39.0188333968547,-39.2653266777142,-39.0281828518494,1376,440,0,NaN,Not applicable,1346,1285,220,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,450,450,Validation-selected Ridge,0,-39.0226891991046,-39.2795081120446,-39.0440698346359,1403,450,0,NaN,Not applicable,1346,1285,225,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,460,460,Validation-selected Ridge,0,-39.0200457444405,-39.2971642986993,-39.0586178160239,1436,460,0,NaN,Not applicable,1346,1285,230,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,470,470,Validation-selected Ridge,0,-39.0279201241935,-39.3078541579525,-39.0676424537096,1461,470,0,NaN,Not applicable,1346,1285,235,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,480,480,Validation-selected Ridge,0,-39.0309610038356,-39.3245094799941,-39.0792963266394,1491,480,0,NaN,Not applicable,1346,1285,240,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,490,490,Validation-selected Ridge,0,-39.0452571601637,-39.3402198609542,-39.0905470957556,1522,490,0,NaN,Not applicable,1346,1285,245,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,500,500,Validation-selected Ridge,0,-39.0481323729114,-39.354423713789,-39.1026203282811,1549,500,0,NaN,Not applicable,1346,1285,250,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Sparse PNNN N12,Sweep point,20,20,Not applicable,NaN,NaN,-5.00290309938555,-5.00722693165822,200,6,14,99.4186046511628,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,73.2773648,pnnn_target_0020.mat
Sparse PNNN N12,Sweep point,30,30,Not applicable,NaN,NaN,-5.01188348116544,-5.01543998943314,220,16,14,98.4496124031008,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,69.6065703,pnnn_target_0030.mat
Sparse PNNN N12,Sweep point,40,40,Not applicable,NaN,NaN,-12.2140479877697,-12.2430717224374,240,26,14,97.4806201550388,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,72.413031,pnnn_target_0040.mat
Sparse PNNN N12,Sweep point,50,50,Not applicable,NaN,NaN,-20.8875668109818,-20.9327839455208,260,36,14,96.5116279069767,8cae5ea67dd1791d631b3cdccd33a077a2dfbed54ff027bf255fff79eb36840f,NaN,NaN,NaN,164,shared N12 internal selection,1,1,72.5475793,pnnn_target_0050.mat
